!03511426-n	heelless	0.0	[0]
00001740-a	able	7.72093023255814	[34.0, 34.0, 0, 34.0, 0, 0, 0, 34.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20.0, 0, 0, 0, 20.0, 0, 20.0, 34.0, 34.0, 0.0, 0.0, 34.0, 34.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00002098-a	unable	-16.875	[-34.0, 0, 0, 0, 0, -33.0, -34.0, -34.0]
00002621-r	just	0.0	[0, 0, 0]
00002684-n	object	0.0	[0, 0, 0, 0, 0]
00003093-r	hardly	-3.6551724137931036	[0, -34.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, -31.0, 0, -8.0, 0, -33.0, 0]
00004722-r	merely	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0]
00004722-r	only	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0.0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0]
00004722-r	just	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00004722-r	but	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00005055-r	plainly	-7.666666666666667	[-23.0, 0, 0]
00005205-a	absolute	35.625	[0, 0, 95.0, 0, 0, 95.0, 95.0, 0]
00006105-r	mostly	0.0	[0.0, 0]
00007015-r	about	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00007347-n	cause	0.0	[0, 0.0]
