!03511426-n	heelless	0.0	[0]
00001740-a	able	17.0	[34.0, 34.0, 0, 34.0, 0, 0, 0, 34.0]
00002098-a	unable	-34.0	[-34.0]
00002621-r	just	0.0	[0]
00002684-n	object	0.0	[0, 0]
00003093-r	hardly	-17.0	[0, -34.0]
00004722-r	merely	0.0	[0, 0]
00004722-r	only	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00004722-r	just	0.0	[0, 0, 0]
00004722-r	but	0.0	[0]
00005055-r	plainly	-23.0	[-23.0]
00005205-a	absolute	0.0	[0]
00006105-r	mostly	0.0	[0.0]
00007015-r	about	0.0	[0, 0, 0, 0, 0, 0, 0]
00007347-n	cause	0.0	[0]
00007488-r	absolutely	0.0	[0]
00007703-r	partly	0.0	[0]
00007739-v	blink	0.0	[0]
00007846-n	person	0.0	[0, 0, 0, 0, 0, 0]
00007846-n	someone	0.0	[0, 0, 0]
00008007-r	entirely	0.0	[0, 0, 0, 0, 0, 0]
00008007-r	all	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00008600-r	entirely	0.0	[0]
00008997-r	perfectly	54.0	[34.0, 64.0, 64.0]
00008997-r	absolutely	0.0	[0]
00009966-r	pray	0.0	[0, 0, 0, 0, 0]
00009966-r	kindly	34.0	[34.0, 34.0, 34.0]
00010435-v	do	0.0	[0, 0]
00010466-r	fully	0.0	[0]
00011011-r	only	0.0	[0, 0, 0, 0]
00012267-v	make	0.0	[0]
00012531-r	well	0.0	[0, 0]
00013662-a	tangible	34.0	[34.0]
00014201-v	shiver	-34.0	[-34.0, -34.0]
00014201-v	draw up	0.0	[0]
00014742-v	sleep	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0]
00015388-n	animal	0.0	[0, 0]
00015388-n	creature	0.0	[0, 0, 0]
00017445-r	even	0.0	[0, 0, 0, 0, 0, 0]
00017639-r	even	0.0	[0, 0, 0, 0]
00017639-r	still	0.0	[0]
00017865-v	go to bed	0.0	[0]
00017865-v	retire	15.0	[15.0]
00017881-r	even as	0.0	[0]
00018526-v	wake	0.0	[0]
00018577-r	quite	0.0	[0, 0, 0, 0, 0, 0]
00018781-r	quite	0.0	[0, 0, 0]
00018813-v	awaken	0.0	[0.0, 0.0]
00018918-r	quite	0.0	[0]
00019339-r	always	0.0	[0, 0, 0, 0, 0, 0, 0]
00019339-r	ever	0.0	[0]
00020410-a	unapproachable	-34.0	[-34.0]
00020476-r	always	0.0	[0, 0, 0, 0, 0]
00020759-r	never	-12.31578947368421	[0, 0, 0, -34.0, 0, -34.0, -34.0, -34.0, 0, 0, -64.0, 0, 0, 0, -34.0, 0, 0, 0, 0]
00021212-r	occasionally	0.0	[0]
00021878-r	sometimes	0.0	[0, 0, 0, 0, 0]
00022131-r	as	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00022903-n	article	0.0	[0]
00023271-n	knowledge	14.571428571428571	[34.0, 34.0, 34.0, 0, 0, 0, 0]
00023773-n	motive	0.0	[0.0]
00024073-r	not	-0.3469387755102041	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -34.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00024073-r	n't	0.0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
00024257-r	nothing	-28.333333333333332	[-34.0, -34.0, -34.0, -34.0, -34.0, 0]
00024356-r	no	-14.866666666666667	[0, 0, 0, 0, -34.0, 0, -34.0, -19.0, -34.0, -34.0, -34.0, -34.0, 0, 0, 0]
00024682-r	none	0.0	[0]
00024893-r	either	0.0	[0, 0]
00024996-a	new	0.0	[0, 0]
00026192-n	feeling	0.0	[0]
00026571-r	at any rate	0.0	[0]
00027093-r	as it is	0.0	[0]
